age,monthly_income,employment_type,digital_txn_count,bill_payment_score,mobile_usage_score,repayment_status
59,39782,1,188,0.017785141262483428,0.3771170641716802,0
49,25173,0,143,0.033559181647251135,0.2199802048981815,0
35,17997,2,121,0.4829533632166656,0.6081011868520917,1
28,48403,2,58,0.29819729815092944,0.6240284371728138,0
41,51416,2,95,0.8451072990054121,0.4390946215718754,1
59,12148,0,5,0.6021543061264543,0.4866100436893823,0
39,23748,1,97,0.45393296174299036,0.9595534142998999,1
43,19022,2,55,0.40793537105429634,0.7326856913968013,1
31,25013,0,135,0.49724548018956327,0.110601751482577,1
31,43687,2,93,0.04043883121266134,0.21213007087061098,0
44,20886,2,26,0.8927933564206599,0.975576634435559,1
56,59827,1,198,0.9983031557339583,0.7264655537935313,1
44,30256,2,154,0.18148712485869867,0.9150451261446532,0
23,35005,1,119,0.12038296477461974,0.30386146398872205,0
42,11638,0,173,0.14357746344859523,0.7418668600865923,0
22,42419,2,168,0.6610270582343671,0.7140027085235114,1
44,38377,0,24,0.6614408384507747,0.2946899854393751,1
50,45708,0,85,0.8479241622784109,0.5508163254507054,1
58,48116,0,145,0.7518263884262533,0.6274151112702953,1
22,41634,2,11,0.44968967336933974,0.48113181082746503,1
41,21755,1,86,0.6128553615653188,0.8271787066580127,1
53,28382,2,178,0.6882846703680079,0.8328690417979895,1
32,54767,0,108,0.5127364702852252,0.8506005483015567,1
42,27394,1,166,0.47565098445163667,0.8034235690981628,1
45,7253,0,88,0.6450974456426533,0.4880834771971446,0
47,42710,1,9,0.5574745489756537,0.3814382981490072,0
48,50098,2,73,0.6439423053359103,0.8313762837143706,1
36,5864,1,76,0.6128547739633639,0.49020145855626684,0
35,39036,2,53,0.7191965605136547,0.24637139862798185,1
23,45222,0,156,0.6428035087828761,0.5073435323222163,1
57,18666,1,101,0.5197424864372673,0.14184982191924211,1
27,25955,0,168,0.6817968112843865,0.6916294905987989,1
41,50138,1,136,0.44948196518542805,0.33592128162390633,1
29,42997,2,190,0.24167122597260104,0.2606587984474543,0
